"site_ID","LAT","LONG","ELEV","IGBP","Climate_class","MAP","NEE","NEE_day","NEE_night","MATA","SSTA","IATA","DRTA","EVI","NDVI","LAI","GPP","SOC","TAS_tot","TAS_totp","TAS","TASp","Tmin1","Tmin2","Tmin3","Tmin4","Tmin5","Tmin6","Tmin7","Tmin8","Tmin9","Tmin10","Tmin11","Tmin12","TS_TA","TSmin_c","TSmin_c_gs","NEE_night_mod_p","NEE_night_mod_f","NEE_night_mod_fa","R2"
"US-NC2",35.803,-76.6685,5,"ENF","Cfa",1320,-384.90875878803,-1172.5547109489,787.645952160867,16.0910711073935,7.99146930423251,0.432484858044764,10.2808308239762,0.408015094608534,0.736809984982715,4.32742858664516,1.77079085842252,134,-0.0203545784446544,0.0341405831212141,-0.000427216570601236,0.969600783228949,1.75113546848297,1.37076919078827,1.58556795120239,0.938827896118164,1.02292976379395,0.996483612060547,1.71157608032227,1.46996231079102,1.82168502807617,1.31684970855713,2.40739936828613,1.61318678855896,0.684036477401505,1.02641800599647,1.04618650389187,4.6385294274236,4.92664883434165,4.8228465391421,0.372254251642927
"US-Bar",44.0646,-71.2881,272,"DBF","Dfb",1245.77,-183.175889860034,-592.589530345926,409.413640485892,7.52986439001788,10.1449619932176,0.583123730176216,9.80362671633294,0.387836521406084,0.65511303091792,2.26231966819736,1.27286049885849,70.4181949568177,-0.0528974455427406,0.0117594845902036,-0.0373148973657172,0.144058604544838,3.09890117645264,2.94234447479248,2.84080591201782,2.21413922309875,1.75509166717529,2.01904735565186,2.23216152191162,2.38263702392578,1.77230749130249,1.65135531425476,2.36146521568298,2.69655656814575,0.612444609851126,1.42734365354333,1.26981142421287,4.45523243302481,4.74803826493743,4.43958878082108,0.0305222419984764
"CA-Oas",53.6289,-106.1978,530,"DBF","Dfc",428.53,-129.574124354087,-467.111055351719,337.536930997632,1.9188985627874,12.8136266491799,0.937533834331656,8.17684663139846,0.254007802691961,0.44585919701684,1.74565207143055,0.910214576994226,86.7849666058708,-0.0105769954775695,0.519031700393188,-0.00343843580888964,0.801763477820912,1.01663017272949,4.26351623535156,3.80139198303223,3.03406591415405,3.20542116165161,2.75164833068848,2.67948703765869,3.22769260406494,2.59311351776123,3.18395609855652,2.93677654266357,3.03062210083008,0.552265404552493,1.64410891462836,1.59659741123639,5.48196632908857,6.112685653013,6.01032620085423,0.105144530982406
"CA-TP4",42.7102,-80.3574,184,"ENF","Dfb",1036,-192.620774766243,-736.553422350244,543.932647584,9.34218745775812,10.1754412319105,0.784144302268558,7.4687748261825,0.366995349588922,0.658590351307381,2.40391076450772,1.4573320487945,88.3594858032117,-0.0176545568544906,0.0359808669655713,0.0111164511744715,0.196079399309181,3.50695962905884,3.27699632644653,2.66446890830994,2.05457873344421,1.68717937469482,1.79245433807373,2.21164817810059,2.44271068572998,2.14783878326416,1.90051279067993,2.25560436248779,2.90146522521973,0.81896741226857,1.96841665740275,1.6871527946737,5.42710980270051,5.84688102434725,5.67529432748935,0.158141542194534
"CA-TP3",42.7068,-80.3483,184,"ENF","Dfb",1036,-547.841828058759,-996.82518102302,448.983352964261,9.19332656016215,10.1200527604757,0.783601790326769,7.75400058668231,0.340775011955561,0.619047329495565,2.20527476095026,1.47551587292668,88.1473023372228,-0.074761026710303,7.51831607899254e-28,-0.0779226366481834,2.03217774880826e-23,3.54820518493652,3.25069608688354,2.70952391624451,2.01084246635437,1.68945045471191,1.75084266662598,2.24234428405762,2.46219749450684,2.13736248016357,1.86139221191406,2.28029308319092,2.88036642074585,0.828511577835599,1.99005144513262,1.68587536056442,4.4455671730594,4.85510746610819,4.28017314740944,0.217231981193945
"CA-Man",55.8796,-98.4808,259,"ENF","Dfc",520,-2.64712046777689,-227.229725756444,224.582605288668,-1.18050736032259,14.667151708872,1.29438905540596,9.76886613807042,0.189257876734803,0.453116642485438,1.00883598846677,0.723940764386019,177.069030205347,0.0339669517065023,0.087251691429285,0.0290118800983769,0.136060300539556,2.04996376037598,4.76608085632324,3.17457847595215,3.75450525283813,3.35010991096497,3.20439558029175,2.81538486480713,2.91890106201172,2.30402936935425,2.95465197563171,4.25333309173584,3.80732612609863,0.710079246600492,2.3286611203194,2.25672022845646,3.12535496433168,3.69746172007005,3.99203238001315,0.595356436294356
"CA-LP1",55.1119,-122.8414,751,"ENF","Dfb",570,-181.721007541168,-317.294472933927,135.57346539276,3.1681494512506,10.0231777303835,0.738260628995649,9.02026357500684,0.198464359316541,0.43322947710749,0.881869438090437,0.752706147985198,70.6500015258789,-0.035716323852824,0.0486228474923882,0.0129435395186439,0.585938456690889,0.919706916809082,2.5096700668335,3.2460072517395,2.44564094543457,2.58402919769287,2.28168497085571,2.23194179534912,2.6999997138977,2.59333310127258,2.58388276100159,3.01655683517456,2.86271076202393,0.810634077335084,2.02490747249651,2.13624989056582,2.39962465358761,2.88119127890149,2.66953647963514,0.155517252621665
"CA-Ca1",49.8673,-125.3336,300,"ENF","Cfb",1369,-373.758018249995,-1083.81887737918,710.06085912919,8.06550019586459,6.16181589678569,0.450077379849812,5.357712276357,0.367616226634762,0.761267813468333,2.14091943762517,1.3692235689597,115.448241627793,0.0256844199562972,0.018261252019563,0.0377257863544212,0.00186670550716863,1.17150182723999,2.29443221092224,1.96849813461304,2.12271070480347,2.01201462745667,2.06549444198608,1.96761913299561,2.28783893585205,1.87648363113403,1.94271068572998,2.17941389083862,1.86959707736969,0.615413028576705,1.21843139776939,1.26993276270965,5.85240476031746,6.64367591502171,6.86394876849918,0.414298493398891
"CA-Gro",48.2167,-82.1556,340,"MF","Dfb",831,-113.466320934151,-453.877799414088,340.411478479938,3.57907558656431,12.389301349359,1.06041532671307,9.19250708961711,0.291918607237608,0.565476151439302,1.71791804196498,1.01925964199426,79.0922435952724,0.00839405847521903,0.715927677524702,0.0384517326502065,0.0573334557198855,3.34014663696289,3.86549491882324,3.21010971069336,2.68366293907166,2.20805864334106,2.03633680343628,2.28864479064941,2.52087936401367,2.05978050231934,2.65223436355591,2.64263715744019,4.01355361938477,0.70962135036255,1.98230000754348,1.6132856934331,4.740059657897,5.31406062595627,5.38651318127593,0.0800367863980207
"CA-Obs",53.9872,-105.1178,628.94,"ENF","Dfc",405.6,-55.931001552334,-316.804268091669,260.873266539335,1.20871494650303,12.997621142655,1.09879782762797,8.73529196369973,0.210746176932607,0.489060243853913,1.03037774809184,0.802898119323937,115.885036448493,-0.0345053336283057,0.00438395222986824,-0.0379648659563603,0.00200586897595532,1.02036628723145,4.34923133850098,3.52761917114258,3.2422709941864,3.24241762161255,2.67443227767944,2.58417549133301,3.1712818145752,2.50351638793945,3.14161171913147,3.15970706939697,3.04864501953125,0.399210583632361,1.18649627707593,1.15097953368579,4.31542899508577,4.80243765941222,4.61544691032036,0.430128682808266
"CA-Ojp",53.9163,-104.692,579,"ENF","Dfc",430.5,-38.1157311708607,-234.602970822693,196.487239651832,1.42220585534305,13.139870853113,0.967887007345719,9.27141364692218,0.220409052512204,0.493162320325157,1.12661351111094,0.771493624817575,68.5450157431271,-0.0161481952173518,0.10350975575937,0.0151782963871286,0.240934199260851,1.10256423950195,4.27772903442383,3.51399230957031,3.16058611869812,3.26937732696533,2.67875442504883,2.6547981262207,3.05882797241211,2.42051277160645,3.14527468681335,3.14102516174316,3.06849784851074,0.630480209197488,1.86474714746578,1.79314153253936,2.86564478819825,3.33858774457781,3.24330180684676,0.332765475907898
"US-Jo2",32.5849,-106.6032,1469,"OSH","Bwk",282.3,-175.496940076807,-245.855922407421,70.3589823306135,17.6401279836445,8.18672718024218,0.457891119837292,12.3220902025515,0.112837485050218,0.17125427940032,0.214988909986962,0.215734894182655,9,-0.0528378593274532,0.127270382519515,-0.000674430994611308,0.978358340469092,0.740219831466675,0.940366315841675,0.311941313743591,0.578754615783691,1.26857147216797,0.980659103393555,1.26300392150879,1.27838821411133,1.56769237518311,1.74087915420532,1.06109890937805,1.03025641441345,1.41090485346479,1.50047751680547,1.60979282040328,0.537546972371862,0.55901227551912,0.513429859015979,0.026823967711518
"US-MtB",32.416,-110.7256,2573,"ENF","Csb",790,-509.163275023604,-742.922998789147,233.759723765544,9.84277184301751,6.89019332815054,0.41123526177408,5.56516578147434,0.286181942393323,0.540026465308063,1.47862841676174,0.710326834572664,5,-0.0513925133023071,0.000877389182231212,-0.0248273741219477,0.108075549707671,0.608131873607636,0.969523823261261,0.217728900909424,0.408424854278564,1.10095233917236,0.84820499420166,1.22058582305908,1.54432239532471,1.61245441436768,1.96564064025879,0.885567808151245,0.879926776885986,1.03748470763528,1.06009017173496,1.11488172543965,1.84278076445781,1.87947704071989,1.77481642387612,0.135105814400592
"US-LL1",31.2792,-84.5329,165,"SAV","Cfa",1310,-203.965057788011,-874.347700658117,670.382642870105,19.4159674776561,6.81546041409114,0.636935780309807,10.0165257884084,0.370377385040857,0.699037711536203,1.87846007715265,1.5636495033428,20,-0.0254835586651594,0.0011651741979908,-0.0133703052573916,0.0438370503861261,1.58021974563599,1.17985343933105,1.39641036987305,1.00073299407959,1.506591796875,1.25252685546875,1.70417633056641,1.44263648986816,1.77369995117187,1.51787548065186,2.46249113082886,1.50146532058716,0.938394832741546,1.43251288045333,1.20789383336944,4.34590107469512,4.49310209654633,4.35690489992581,0.172996107826044
